ChEBI_ID,Status
CHEBI:132742,Not Endogenous
CHEBI:132941,Not Endogenous
CHEBI:138556,Not Endogenous
CHEBI:141000,Not Endogenous
CHEBI:143093,Not Endogenous
CHEBI:15355,Not Endogenous
CHEBI:15367,Not Endogenous
CHEBI:15422,Not Endogenous
CHEBI:15428,Not Endogenous
CHEBI:15531,Not Endogenous
CHEBI:15551,Not Endogenous
CHEBI:15558,Not Endogenous
CHEBI:15562,Not Endogenous
CHEBI:15756,Not Endogenous
CHEBI:15801,Not Endogenous
CHEBI:15843,Not Endogenous
CHEBI:15891,Not Endogenous
CHEBI:15996,Not Endogenous
CHEBI:16113,Not Endogenous
CHEBI:16240,Not Endogenous
CHEBI:16330,Not Endogenous
CHEBI:16335,Not Endogenous
CHEBI:16337,Not Endogenous
CHEBI:16382,Not Endogenous
CHEBI:16412,Not Endogenous
CHEBI:16469,Not Endogenous
CHEBI:16480,Not Endogenous
CHEBI:16595,Not Endogenous
CHEBI:16618,Not Endogenous
CHEBI:16796,Not Endogenous
CHEBI:16810,Not Endogenous
CHEBI:16919,Not Endogenous
CHEBI:16947,Not Endogenous
CHEBI:16958,Not Endogenous
CHEBI:16973,Not Endogenous
CHEBI:17026,Not Endogenous
CHEBI:17263,Not Endogenous
CHEBI:17347,Not Endogenous
CHEBI:17489,Not Endogenous
CHEBI:17544,Not Endogenous
CHEBI:17552,Not Endogenous
CHEBI:17553,Not Endogenous
CHEBI:17650,Not Endogenous
CHEBI:17697,Not Endogenous
CHEBI:17815,Not Endogenous
CHEBI:17824,Not Endogenous
CHEBI:17924,Not Endogenous
CHEBI:17925,Not Endogenous
CHEBI:18066,Not Endogenous
CHEBI:18237,Not Endogenous
CHEBI:18243,Not Endogenous
CHEBI:18295,Not Endogenous
CHEBI:18332,Not Endogenous
CHEBI:18348,Not Endogenous
CHEBI:18357,Not Endogenous
CHEBI:18421,Not Endogenous
CHEBI:18723,Not Endogenous
CHEBI:24261,Not Endogenous
CHEBI:25017,Not Endogenous
CHEBI:26355,Not Endogenous
CHEBI:26995,Not Endogenous
CHEBI:2719,Not Endogenous
CHEBI:27584,Not Endogenous
CHEBI:27974,Not Endogenous
CHEBI:28044,Not Endogenous
CHEBI:28087,Not Endogenous
CHEBI:28364,Not Endogenous
CHEBI:28371,Not Endogenous
CHEBI:28602,Not Endogenous
CHEBI:28774,Not Endogenous
CHEBI:28790,Not Endogenous
CHEBI:28918,Not Endogenous
CHEBI:29034,Not Endogenous
CHEBI:29108,Not Endogenous
CHEBI:30408,Not Endogenous
CHEBI:30413,Not Endogenous
CHEBI:30616,Not Endogenous
CHEBI:30659,Not Endogenous
CHEBI:30915,Not Endogenous
CHEBI:3165,Not Endogenous
CHEBI:32957,Not Endogenous
CHEBI:33568,Not Endogenous
CHEBI:34385,Not Endogenous
CHEBI:34795,Not Endogenous
CHEBI:350546,Not Endogenous
CHEBI:37328,Not Endogenous
CHEBI:37550,Not Endogenous
CHEBI:37623,Not Endogenous
CHEBI:40751,Not Endogenous
CHEBI:44811,Not Endogenous
CHEBI:456215,Not Endogenous
CHEBI:4727,Not Endogenous
CHEBI:49552,Not Endogenous
CHEBI:50113,Not Endogenous
CHEBI:52393,Not Endogenous
CHEBI:53490,Not Endogenous
CHEBI:57404,Not Endogenous
CHEBI:57406,Not Endogenous
CHEBI:57461,Not Endogenous
CHEBI:57540,Not Endogenous
CHEBI:57783,Not Endogenous
CHEBI:57795,Not Endogenous
CHEBI:58223,Not Endogenous
CHEBI:58332,Not Endogenous
CHEBI:59414,Not Endogenous
CHEBI:59560,Not Endogenous
CHEBI:597326,Not Endogenous
CHEBI:60119,Not Endogenous
CHEBI:60523,Not Endogenous
CHEBI:606564,Not Endogenous
CHEBI:6102,Not Endogenous
CHEBI:63166,Not Endogenous
CHEBI:64628,Not Endogenous
CHEBI:6618,Not Endogenous
CHEBI:66964,Not Endogenous
CHEBI:681,Not Endogenous
CHEBI:7872,Not Endogenous
CHEBI:80139,Not Endogenous
CHEBI:80161,Not Endogenous
CHEBI:80229,Not Endogenous
CHEBI:80240,Not Endogenous
CHEBI:80244,Not Endogenous
CHEBI:80254,Not Endogenous
CHEBI:80256,Not Endogenous
CHEBI:80266,Not Endogenous
CHEBI:80269,Not Endogenous
CHEBI:80274,Not Endogenous
CHEBI:80275,Not Endogenous
CHEBI:80301,Not Endogenous
CHEBI:80303,Not Endogenous
CHEBI:80307,Not Endogenous
CHEBI:80308,Not Endogenous
CHEBI:80311,Not Endogenous
CHEBI:80312,Not Endogenous
CHEBI:80319,Not Endogenous
CHEBI:84404,Not Endogenous
CHEBI:8502,Not Endogenous
CHEBI:94276,Not Endogenous
CHEBI:94284,Not Endogenous
CHEBI:9574,Not Endogenous
CHEBI:9937,Not Endogenous
