brand_name,generic_name,application_number,sponsor_name,dosage_form,route,marketing_status
8-HOUR BAYER,ASPIRIN,NDA016030,BAYER,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
8-MOP,METHOXSALEN,NDA009048,VALEANT PHARM INTL,CAPSULE,ORAL,Discontinued
A-HYDROCORT,HYDROCORTISONE SODIUM SUCCINATE,ANDA089577,ABBOTT,INJECTABLE,INJECTION,Discontinued
A-METHAPRED,METHYLPREDNISOLONE SODIUM SUCCINATE,ANDA085852,HOSPIRA,INJECTABLE,INJECTION,Discontinued
A-POXIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE,ANDA085513,ABBOTT,CAPSULE,ORAL,Discontinued
A.P.L.,"GONADOTROPIN, CHORIONIC",BLA017055,FERRING,INJECTABLE,INJECTION,Discontinued
A/T/S,ERYTHROMYCIN,ANDA062405,TARO,SOLUTION,TOPICAL,Discontinued
ABACAVIR AND LAMIVUDINE,ABACAVIR; LAMIVUDINE,NDA208775,CIPLA LIMITED,"TABLET, FOR SUSPENSION",ORAL,None (Tentative Approval)
ABACAVIR SULFATE,ABACAVIR SULFATE,ANDA201107,HETERO LABS LTD III,SOLUTION,ORAL,Prescription
ABACAVIR SULFATE AND LAMIVUDINE,ABACAVIR SULFATE; LAMIVUDINE,ANDA212663,MACLEODS PHARMS,TABLET,ORAL,Discontinued
"ABACAVIR SULFATE, LAMIVUDINE AND ZIDOVUDINE",ABACAVIR SULFATE; LAMIVUDINE; ZIDOVUDINE,ANDA090309,MYLAN PHARMA,TABLET,ORAL,None (Tentative Approval)
ABACAVIR SULFATE; LAMIVUDINE,ABACAVIR SULFATE; LAMIVUDINE,NDA202381,MYLAN LABS,TABLET,ORAL,None (Tentative Approval)
ABACAVIR || DOLUTEGRAVIR || LAMIVUDINE,ABACAVIR || DOLUTEGRAVIR || LAMIVUDINE,ANDA212181,EMCURE PHARMS LTD,TABLET,,None (Tentative Approval)
"ABACAVIR, DOLUTEGRAVIR AND LAMIVUDINE","ABACAVIR, DOLUTEGRAVIR, LAMIVUDINE",ANDA217830,MACLEODS PHARMACEUTICALS LTD,TABLET,,None (Tentative Approval)
"ABACAVIR, DOLUTEGRAVIR, LAMIVUDINE","ABACAVIR, DOLUTEGRAVIR, LAMIVUDINE",ANDA210391,CIPLA LIMITED,TABLET,,None (Tentative Approval)
ABACAVIR; DOLUTEGRAVIR; LAMIVUDINE,ABACAVIR; DOLUTEGRAVIR; LAMIVUDINE,ANDA216223,LAURUS LABS LTD,TABLET,ORAL,None (Tentative Approval)
ABACAVIR; LAMIVUDINE,ABACAVIR; LAMIVUDINE,NDA207369,HETERO LABS LTD V,TABLET,ORAL,None (Tentative Approval)
ABANTA,APIXABAN,NDA221024,AZURITY,CAPSULE,ORAL,Prescription
ABELCET,AMPHOTERICIN B,NDA050724,LEADIANT BIOSCI INC,"INJECTABLE, LIPID COMPLEX",INJECTION,Discontinued
ABEMACICLIB,ABEMACICLIB,ANDA220238,"QILU PHARMACEUTICAL CO., LTD.",TABLET,,None (Tentative Approval)
ABILIFY,ARIPIPRAZOLE,NDA021436,OTSUKA,TABLET,ORAL,Prescription
ABILIFY ASIMTUFII,ARIPIPRAZOLE,NDA217006,OTSUKA,"SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,Prescription
ABILIFY MAINTENA KIT,ARIPIPRAZOLE,NDA202971,OTSUKA PHARM CO LTD,"FOR SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,Prescription
ABILIFY MYCITE KIT,ARIPIPRAZOLE,NDA207202,OTSUKA,TABLET,ORAL,Discontinued
ABIRATERONE ACETATE,ABIRATERONE ACETATE,ANDA208339,HIKMA,TABLET,ORAL,Prescription
ABITREXATE,METHOTREXATE SODIUM,ANDA089355,ABIC,INJECTABLE,INJECTION,Discontinued
ABLAVAR,GADOFOSVESET TRISODIUM,NDA021711,LANTHEUS MEDCL,SOLUTION,INTRAVENOUS,Discontinued
ABLYSINOL,DEHYDRATED ALCOHOL,NDA207987,BPI LABS,SOLUTION,INTRA-ARTERIAL,Prescription
ABRAXANE,PACLITAXEL,NDA021660,BRISTOL-MYERS,POWDER,INTRAVENOUS,Prescription
ABREVA,DOCOSANOL,NDA020941,HALEON US HOLDINGS,CREAM,TOPICAL,Over-the-counter
ABRILADA,ADALIMUMAB-AFZB,BLA761118,PFIZER INC,INJECTABLE,INJECTION,Prescription
ABSORICA,ISOTRETINOIN,NDA021951,SUN PHARM INDS INC,CAPSULE,ORAL,Prescription
ABSORICA LD,ISOTRETINOIN,NDA211913,SUN PHARM,CAPSULE,ORAL,Discontinued
ABSTRAL,FENTANYL CITRATE,NDA022510,SENTYNL THERAPS INC,TABLET,SUBLINGUAL,Discontinued
ACALABRUTINIB,ACALABRUTINIB,ANDA216833,MSN LABORATORIES PRIVATE LTD,CAPSULE,,None (Tentative Approval)
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,ANDA200143,BARR LABS DIV TEVA,"TABLET, DELAYED RELEASE",ORAL,Discontinued
ACANYA,BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,NDA050819,BAUSCH,GEL,TOPICAL,Prescription
ACARBOSE,ACARBOSE,ANDA078441,IMPAX LABS,TABLET,ORAL,Prescription
ACCOLATE,ZAFIRLUKAST,NDA020547,STRIDES PHARMA INTL,TABLET,ORAL,Prescription
ACCRETROPIN,SOMATROPIN,BLA021538,EMERGENT,INJECTABLE,INJECTION,Discontinued
ACCRUFER,FERRIC MALTOL,NDA212320,SHIELD TX,CAPSULE,ORAL,Prescription
ACCUNEB,ALBUTEROL SULFATE,NDA020949,PHARMOBEDIENT,SOLUTION,INHALATION,Discontinued
ACCUPRIL,QUINAPRIL HYDROCHLORIDE,NDA019885,PFIZER PHARMS,TABLET,ORAL,Discontinued
ACCURBRON,THEOPHYLLINE,ANDA088746,SANOFI AVENTIS US,SYRUP,ORAL,Discontinued
ACCURETIC,HYDROCHLOROTHIAZIDE; QUINAPRIL HYDROCHLORIDE,NDA020125,PFIZER PHARMS,TABLET,ORAL,Discontinued
ACCUTANE,ISOTRETINOIN,NDA018662,HOFFMANN LA ROCHE,CAPSULE,ORAL,Discontinued
ACEBUTOLOL HYDROCHLORIDE,ACEBUTOLOL HYDROCHLORIDE,ANDA074288,PHARMOBEDIENT,CAPSULE,ORAL,Discontinued
ACEON,PERINDOPRIL ERBUMINE,NDA020184,SYMPLMED PHARMS LLC,TABLET,ORAL,Discontinued
ACEPHEN,ACETAMINOPHEN,ANDA072237,COSETTE PHARMS NC,SUPPOSITORY,RECTAL,Discontinued
ACETADOTE,ACETYLCYSTEINE,NDA021539,APOTEX,INJECTABLE,INTRAVENOUS,Prescription
ACETAMINOPHEN,ACETAMINOPHEN,NDA018337,TARO,SUPPOSITORY,RECTAL,Over-the-counter
ACETAMINOPHEN AND CODEINE PHOSPHATE,ACETAMINOPHEN; CODEINE PHOSPHATE,ANDA085288,KV PHARM,TABLET,ORAL,Discontinued
ACETAMINOPHEN AND HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ANDA088898,CENT PHARMS,CAPSULE,ORAL,Discontinued
ACETAMINOPHEN AND IBUPROFEN,ACETAMINOPHEN; IBUPROFEN,ANDA214836,L PERRIGO CO,TABLET,ORAL,Over-the-counter
ACETAMINOPHEN AND PENTAZOCINE HYDROCHLORIDE,ACETAMINOPHEN; PENTAZOCINE HYDROCHLORIDE,ANDA076202,GAVIS PHARMS,TABLET,ORAL,Discontinued
"ACETAMINOPHEN, ASPIRIN AND CAFFEINE",ACETAMINOPHEN; ASPIRIN; CAFFEINE,ANDA211695,AUROBINDO PHARMA LTD,TABLET,ORAL,Over-the-counter
"ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE",ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE,ANDA081097,MIKART,CAPSULE,ORAL,Discontinued
"ACETAMINOPHEN, CAFFEINE AND DIHYDROCODEINE BITARTRATE",ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,ANDA204209,PHARMOBEDIENT,TABLET,ORAL,Discontinued
"ACETAMINOPHEN, CAFFEINE, AND DIHYDROCODEINE BITARTRATE",ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,ANDA040637,WEST-WARD PHARM CORP,TABLET,ORAL,Discontinued
ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,ANDA207113,ACTAVIS LABS FL INC,"TABLET, EXTENDED RELEASE",ORAL,None (Tentative Approval)
ACETASOL,"ACETIC ACID, GLACIAL",ANDA087146,ACTAVIS MID ATLANTIC,SOLUTION/DROPS,OTIC,Discontinued
