Subject,Predicate,Object,Value,object_direction_qualifier,object_aspect_qualifier,PMID,Reasoning
Mitoxantrone hydrochloride liposome,exhibited notable anti-leukemia activity,R/R AML,,,,Cell Transplant. 2026 Jan-Dec;35:9636897261469013. doi: 10.1177/09636897261469013. Epub 2026 Jul 14. PMID: 42446104 [Indexed for MEDLINE],The MTBF regimen 'exhibited notable anti-leukemia activity' in patients with relapsed or refractory acute myeloid leukemia.
Busulfan,was tolerated in patients with R/R AML,R/R AML,,,,Cell Transplant. 2026 Jan-Dec;35:9636897261469013. doi: 10.1177/09636897261469013. Epub 2026 Jul 14. PMID: 42446104 [Indexed for MEDLINE],'The MTBF regimen for salvage allo-HSCT in R/R AML was tolerable'
Fludarabine,was tolerated in patients with R/R AML,R/R AML,,,,Cell Transplant. 2026 Jan-Dec;35:9636897261469013. doi: 10.1177/09636897261469013. Epub 2026 Jul 14. PMID: 42446104 [Indexed for MEDLINE],'The MTBF regimen for salvage allo-HSCT in R/R AML was tolerable'
Selinexor,showed synergistic antileukemic effects when combined with hypomethylating agents or janus kinase inhibitors,myelodysplastic/myeloproliferative neoplasm overlap syndromes (MDS/MPN),,,,Cancer. 2026 Jul 1;132(13):e70459. doi: 10.1002/cncr.70459. PMID: 42318939 [Indexed for MEDLINE],'Preclinical and clinical evidence indicated synergistic antileukemic effects...'
Azacitidine,exhibited synergistic antileukemic effects when combined with selinexor,MDS-dominant features,,,,Cancer. 2026 Jul 1;132(13):e70459. doi: 10.1002/cncr.70459. PMID: 42318939 [Indexed for MEDLINE],'Preclinical and clinical evidence indicated synergistic antileukemic effects...'
Ruxolitinib,exhibited synergistic antileukemic effects when combined with selinexor,MPN-dominant features,,,,Cancer. 2026 Jul 1;132(13):e70459. doi: 10.1002/cncr.70459. PMID: 42318939 [Indexed for MEDLINE],'Preclinical and clinical evidence indicated synergistic antileukemic effects...'
Exportin 1,was inhibited by selinexor,myelodysplastic/myeloproliferative neoplasm overlap syndromes (MDS/MPN),,,,,"'Selinexor, an oral selective inhibitor of exportin 1...', '"
Hypomethylating agents,were combined with selinexor to exhibit synergistic antileukemic effects,myelodysplastic/myeloproliferative neoplasm overlap syndromes (MDS/MPN),,,,Cancer. 2026 Jul 1;132(13):e70459. doi: 10.1002/cncr.70459. PMID: 42318939 [Indexed for MEDLINE],'Preclinical and clinical evidence indicated synergistic antileukemic effects...'
Janus kinase inhibitors,were combined with selinexor to exhibit synergistic antileukemic effects,myelodysplastic/myeloproliferative neoplasm overlap syndromes (MDS/MPN),,,,Cancer. 2026 Jul 1;132(13):e70459. doi: 10.1002/cncr.70459. PMID: 42318939 [Indexed for MEDLINE],'Preclinical and clinical evidence indicated synergistic antileukemic effects...'
Acute myeloid leukemia,was treated with selinexor plus azacitidine or ruxolitinib,myelodysplastic/myeloproliferative neoplasm overlap syndromes (MDS/MPN),,,,Cancer. 2026 Jul 1;132(13):e70459. doi: 10.1002/cncr.70459. PMID: 42318939 [Indexed for MEDLINE],"'A prospective, single-arm trial was conducted to evaluate...'"
Myelodysplastic syndrome,was treated with selinexor plus azacitidine or ruxolitinib,myelodysplastic/myeloproliferative neoplasm overlap syndromes (MDS/MPN),,,,Cancer. 2026 Jul 1;132(13):e70459. doi: 10.1002/cncr.70459. PMID: 42318939 [Indexed for MEDLINE],"'A prospective, single-arm trial was conducted to evaluate...'"
Myeloproliferative neoplasm,was treated with selinexor plus azacitidine or ruxolitinib,myelodysplastic/myeloproliferative neoplasm overlap syndromes (MDS/MPN),,,,Cancer. 2026 Jul 1;132(13):e70459. doi: 10.1002/cncr.70459. PMID: 42318939 [Indexed for MEDLINE],"'A prospective, single-arm trial was conducted to evaluate...'"
Splenectomy,occurred in patients treated with selinexor plus azacitidine or ruxolitinib,myelodysplastic/myeloproliferative neoplasm overlap syndromes (MDS/MPN),,,,Cancer. 2026 Jul 1;132(13):e70459. doi: 10.1002/cncr.70459. PMID: 42318939 [Indexed for MEDLINE],'Partial responses occurred...'
Bone marrow response,occurred in patients treated with selinexor plus azacitidine or ruxolitinib,myelodysplastic/myeloproliferative neoplasm overlap syndromes (MDS/MPN),,,,Cancer. 2026 Jul 1;132(13):e70459. doi: 10.1002/cncr.70459. PMID: 42318939 [Indexed for MEDLINE],'Partial bone marrow responses occurred...'
Erythropoiesis,was improved in patients treated with selinexor plus azacitidine or ruxolitinib,myelodysplastic/myeloproliferative neoplasm overlap syndromes (MDS/MPN),,,,Cancer. 2026 Jul 1;132(13):e70459. doi: 10.1002/cncr.70459. PMID: 42318939 [Indexed for MEDLINE],"'Improvements in the total symptom score, erythroid response, platelet response, and spleen response...' "
Thrombopoiesis,was improved in patients treated with selinexor plus azacitidine or ruxolitinib,myelodysplastic/myeloproliferative neoplasm overlap syndromes (MDS/MPN),,,,Cancer. 2026 Jul 1;132(13):e70459. doi: 10.1002/cncr.70459. PMID: 42318939 [Indexed for MEDLINE],"'Improvements in the total symptom score, erythroid response, platelet response, and spleen response...' "
Disease-related fatalities,occurred in patients treated with selinexor plus azacitidine or ruxolitinib,myelodysplastic/myeloproliferative neoplasm overlap syndromes (MDS/MPN),,,,Cancer. 2026 Jul 1;132(13):e70459. doi: 10.1002/cncr.70459. PMID: 42318939 [Indexed for MEDLINE],"'Three patients experienced grade 3 or greater events, including two disease-related fatalities.'"
Relapse,occurred in patients treated with selinexor plus azacitidine or ruxolitinib,myelodysplastic/myeloproliferative neoplasm overlap syndromes (MDS/MPN),,,,Cancer. 2026 Jul 1;132(13):e70459. doi: 10.1002/cncr.70459. PMID: 42318939 [Indexed for MEDLINE],'Two patients experienced relapse.'
Acute myeloid leukemia transformation,occurred in patients treated with selinexor plus azacitidine or ruxolitinib,myelodysplastic/myeloproliferative neoplasm overlap syndromes (MDS/MPN),,,,Cancer. 2026 Jul 1;132(13):e70459. doi: 10.1002/cncr.70459. PMID: 42318939 [Indexed for MEDLINE],'One patient's disease transformed to acute myeloid leukemia after a median follow-up of 6 months.'
Mucositis,was managed appropriately in patients treated with MTBF regimen,R/R AML,,,,Cell Transplant. 2026 Jan-Dec;35:9636897261469013. doi: 10.1177/09636897261469013. Epub 2026 Jul 14. PMID: 42446104 [Indexed for MEDLINE],'Mucositis was the predominant toxicity and was managed appropriately.'
Graft-versus-host disease,occurred in patients treated with MTBF regimen,R/R AML,,,,Cell Transplant. 2026 Jan-Dec;35:9636897261469013. doi: 10.1177/09636897261469013. Epub 2026 Jul 14. PMID: 42446104 [Indexed for MEDLINE],'GVHD occurred in all patients.'
Non-hematological adverse effects,occurred in patients treated with MTBF regimen,R/R AML,,,,Cell Transplant. 2026 Jan-Dec;35:9636897261469013. doi: 10.1177/09636897261469013. Epub 2026 Jul 14. PMID: 42446104 [Indexed for MEDLINE],'Non-hematological adverse effects occurred in all patients.'
