hgnc_id,symbol,name,locus_group,locus_type,status,location,alias_symbol,prev_symbol,gene_group,entrez_id,ensembl_gene_id,refseq_accession
HGNC:5,A1BG,alpha-1-B glycoprotein,protein-coding gene,gene with protein product,Approved,19q13.43,,,Immunoglobulin like domain containing,1.0,ENSG00000121410,NM_130786
HGNC:37133,A1BG-AS1,A1BG antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,19q13.43,FLJ23569,NCRNA00181|A1BGAS|A1BG-AS,Antisense RNAs,503538.0,ENSG00000268895,NR_015380
HGNC:24086,A1CF,APOBEC1 complementation factor,protein-coding gene,gene with protein product,Approved,10q11.23,ACF|ASP|ACF64|ACF65|APOBEC1CF,,RNA binding motif containing,29974.0,ENSG00000148584,NM_014576
HGNC:7,A2M,alpha-2-macroglobulin,protein-coding gene,gene with protein product,Approved,12p13.31,FWP007|S863-7|CPAMD5,,Alpha-2-macroglobulin family,2.0,ENSG00000175899,NM_000014
HGNC:27057,A2M-AS1,A2M antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,12p13.31,,,Antisense RNAs,144571.0,ENSG00000245105,NR_026971
HGNC:23336,A2ML1,alpha-2-macroglobulin like 1,protein-coding gene,gene with protein product,Approved,12p13.31,FLJ25179|p170,CPAMD9,Alpha-2-macroglobulin family,144568.0,ENSG00000166535,NM_144670
HGNC:41022,A2ML1-AS1,A2ML1 antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,12p13.31,,,Antisense RNAs,100874108.0,ENSG00000256661,NR_046715
HGNC:41523,A2ML1-AS2,A2ML1 antisense RNA 2,non-coding RNA,"RNA, long non-coding",Approved,12p13.31,,,Antisense RNAs,106478979.0,ENSG00000256904,
HGNC:30005,A3GALT2,"alpha 1,3-galactosyltransferase 2",protein-coding gene,gene with protein product,Approved,1p35.1,IGBS3S|IGB3S,A3GALT2P,Glycosyltransferase family 6,127550.0,ENSG00000184389,NM_001080438
HGNC:18149,A4GALT,"alpha 1,4-galactosyltransferase (P1PK blood group)",protein-coding gene,gene with protein product,Approved,22q13.2,A14GALT|Gb3S|P(k),P1,"Alpha 1,4-glycosyltransferases|Blood group antigens",53947.0,ENSG00000128274,NM_017436
HGNC:17968,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",protein-coding gene,gene with protein product,Approved,3q22.3,alpha4GnT,,"Alpha 1,4-glycosyltransferases",51146.0,ENSG00000118017,NM_016161
HGNC:13666,AAAS,aladin WD repeat nucleoporin,protein-coding gene,gene with protein product,Approved,12q13.13,,,WD repeat domain containing|Nucleoporins,8086.0,ENSG00000094914,NM_001173466
HGNC:21298,AACS,acetoacetyl-CoA synthetase,protein-coding gene,gene with protein product,Approved,12q24.31,FLJ12389|SUR-5|ACSF1,,Acyl-CoA synthetase family,65985.0,ENSG00000081760,NM_023928
HGNC:18226,AACSP1,acetoacetyl-CoA synthetase pseudogene 1,pseudogene,pseudogene,Approved,5q35.3,,AACSL,,729522.0,ENSG00000250420,NR_024035
HGNC:17,AADAC,arylacetamide deacetylase,protein-coding gene,gene with protein product,Approved,3q25.1,DAC|CES5A1,,Lipases|Arylacetamide deacetylase family,13.0,ENSG00000114771,NM_001086
HGNC:24427,AADACL2,arylacetamide deacetylase like 2,protein-coding gene,gene with protein product,Approved,3q25.1,MGC72001,,Arylacetamide deacetylase family,344752.0,ENSG00000197953,NM_207365
HGNC:50301,AADACL2-AS1,AADACL2 antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,3q25.1,,,Antisense RNAs,101928142.0,ENSG00000242908,NR_110202
HGNC:32037,AADACL3,arylacetamide deacetylase like 3,protein-coding gene,gene with protein product,Approved,1p36.21,OTTHUMG00000001887,,Arylacetamide deacetylase family,126767.0,ENSG00000188984,NM_001103170
HGNC:32038,AADACL4,arylacetamide deacetylase like 4,protein-coding gene,gene with protein product,Approved,1p36.21,OTTHUMG00000001889,,Arylacetamide deacetylase family,343066.0,ENSG00000204518,NM_001013630
HGNC:50305,AADACP1,arylacetamide deacetylase pseudogene 1,pseudogene,pseudogene,Approved,3q25.1,,,,201651.0,ENSG00000240602,NR_026915
HGNC:17929,AADAT,aminoadipate aminotransferase,protein-coding gene,gene with protein product,Approved,4q33,KATII|KAT2|KYAT2,,Transaminases,51166.0,ENSG00000109576,NM_016228
HGNC:25662,AAGAB,alpha and gamma adaptin binding protein,protein-coding gene,gene with protein product,Approved,15q23,FLJ11506|p34,,,79719.0,ENSG00000103591,NM_024666
HGNC:19679,AAK1,AP2 associated kinase 1,protein-coding gene,gene with protein product,Approved,2p13.3,KIAA1048|DKFZp686K16132,,Small nucleolar RNA protein coding host genes|Numb-associated kinase family,22848.0,ENSG00000115977,NM_014911
HGNC:30205,AAMDC,adipogenesis associated Mth938 domain containing,protein-coding gene,gene with protein product,Approved,11q14.1,PTD015|FLJ21035|CK067,C11orf67,,28971.0,ENSG00000087884,NM_024684
HGNC:18,AAMP,angio associated migratory cell protein,protein-coding gene,gene with protein product,Approved,2q35,,,WD repeat domain containing,14.0,ENSG00000127837,NM_001087
HGNC:19,AANAT,aralkylamine N-acetyltransferase,protein-coding gene,gene with protein product,Approved,17q25.1,SNAT,,GCN5 related N-acetyltransferases,15.0,ENSG00000129673,NM_001088
HGNC:15886,AAR2,AAR2 splicing factor,protein-coding gene,gene with protein product,Approved,20q11.23,bA234K24.2,C20orf4,,25980.0,ENSG00000131043,NM_015511
HGNC:33842,AARD,alanine and arginine rich domain containing protein,protein-coding gene,gene with protein product,Approved,8q24.11,LOC441376,C8orf85,,441376.0,ENSG00000205002,NM_001025357
HGNC:20,AARS1,alanyl-tRNA synthetase 1,protein-coding gene,gene with protein product,Approved,16q22.1,CMT2N|AlaRS,AARS,"Aminoacyl tRNA synthetases, Class II",16.0,ENSG00000090861,NM_001605
HGNC:49894,AARS1P1,alanyl-tRNA synthetase 1 pseudogene 1,pseudogene,pseudogene,Approved,4q28.3,,AARSP1,,106480683.0,ENSG00000249038,NG_043271
HGNC:21022,AARS2,"alanyl-tRNA synthetase 2, mitochondrial",protein-coding gene,gene with protein product,Approved,6p21.1,KIAA1270|bA444E17.1,AARSL,"Aminoacyl tRNA synthetases, Class II",57505.0,ENSG00000124608,NM_020745
HGNC:28417,AARSD1,alanyl-tRNA synthetase domain containing 1,protein-coding gene,gene with protein product,Approved,17q21.31,MGC2744|AlaXp,,,80755.0,ENSG00000266967,NM_001261434
HGNC:54994,AARSD1P1,AARSD1 pseudogene 1,pseudogene,pseudogene,Approved,Xq13.2,,,,117981788.0,ENSG00000234969,NG_070706
